archivo,familia,base,anio,cobertura,nivel,grado,area,nivel_grado_inferido
2011 - 2024  - Diccionario bases aprender anonimizadas.xlsx,DICCIONARIO,,2011.0,,,,,
2011 Caracteristicas - agregada.xlsx,RA,Caracteristicas,2011.0,,,,,
2011 Cargos - agregada.xlsx,RA,Cargos,2011.0,,,,,
2011 Cargos Bis - agregada.xlsx,RA,Cargos Bis,2011.0,,,,,
2011 Matricula - agregada.xlsx,RA,Matricula,2011.0,,,,,
2011 Matricula por edad - agregada.xlsx,RA,Matricula por edad,2011.0,,,,,
2011 Poblacion - agregada.xlsx,RA,Poblacion,2011.0,,,,,
2011 Trayectoria - agregada.xlsx,RA,Trayectoria,2011.0,,,,,
2012 Caracteristicas - agregada.xlsx,RA,Caracteristicas,2012.0,,,,,
2012 Cargos - agregada.xlsx,RA,Cargos,2012.0,,,,,
2012 Cargos Bis - agregada.xlsx,RA,Cargos Bis,2012.0,,,,,
2012 Matricula - agregada.xlsx,RA,Matricula,2012.0,,,,,
2012 Matricula por edad - agregada.xlsx,RA,Matricula por edad,2012.0,,,,,
2012 Poblacion - agregada.xlsx,RA,Poblacion,2012.0,,,,,
2012 Trayectoria - agregada.xlsx,RA,Trayectoria,2012.0,,,,,
2013 Caracteristicas - agregada.xlsx,RA,Caracteristicas,2013.0,,,,,
2013 Cargos - agregada.xlsx,RA,Cargos,2013.0,,,,,
2013 Cargos Bis - agregada.xlsx,RA,Cargos Bis,2013.0,,,,,
2013 Matricula - agregada.xlsx,RA,Matricula,2013.0,,,,,
2013 Matricula por edad - agregada.xlsx,RA,Matricula por edad,2013.0,,,,,
2013 Poblacion - agregada.xlsx,RA,Poblacion,2013.0,,,,,
2013 Trayectoria - agregada.xlsx,RA,Trayectoria,2013.0,,,,,
2014 Caracteristicas - agregada.xlsx,RA,Caracteristicas,2014.0,,,,,
2014 Cargos - agregada.xlsx,RA,Cargos,2014.0,,,,,
2014 Cargos Bis - agregada.xlsx,RA,Cargos Bis,2014.0,,,,,
2014 Matricula - agregada.xlsx,RA,Matricula,2014.0,,,,,
2014 Matricula por edad - agregada.xlsx,RA,Matricula por edad,2014.0,,,,,
2014 Poblacion - agregada.xlsx,RA,Poblacion,2014.0,,,,,
2014 Trayectoria - agregada.xlsx,RA,Trayectoria,2014.0,,,,,
2015 Caracteristicas - agregada.xlsx,RA,Caracteristicas,2015.0,,,,,
2015 Cargos - agregada.xlsx,RA,Cargos,2015.0,,,,,
2015 Cargos Bis - agregada.xlsx,RA,Cargos Bis,2015.0,,,,,
2015 Matricula - agregada.xlsx,RA,Matricula,2015.0,,,,,
2015 Matricula por edad - agregada.xlsx,RA,Matricula por edad,2015.0,,,,,
2015 Poblacion - agregada.xlsx,RA,Poblacion,2015.0,,,,,
2015 Trayectoria - agregada.xlsx,RA,Trayectoria,2015.0,,,,,
2016 Base APRENDER Primaria - Agregada - Desempeños de Lengua.xlsx,APRENDER,,2016.0,Censal,Primaria,6 grado,Lengua,True
2016 Base APRENDER Primaria - Agregada - Desempeños de Matematica.xlsx,APRENDER,,2016.0,Censal,Primaria,6 grado,Matematica,True
2016 Base APRENDER Primaria - Agregada - Solo CC.xlsx,APRENDER,,2016.0,Censal,Primaria,6 grado,Solo CC,True
